# Color	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Amber	05:45	02/Aug/2000	10:05	02/Aug/2000	04 20
Amber	05:40	03/Aug/2000	08:30	03/Aug/2000	02 50
Amber	11:15	03/Aug/2000	13:30	03/Aug/2000	02 15
Amber	07:35	04/Aug/2000	11:15	04/Aug/2000	03 40
Amber	14:40	04/Aug/2000	16:00	04/Aug/2000	01 20
Amber	08:35	06/Aug/2000	10:50	06/Aug/2000	02 15
Amber	00:25	24/Aug/2000	01:36	24/Aug/2000	01 11
Red	01:36	24/Aug/2000	03:05	24/Aug/2000	01 29
Black	03:05	24/Aug/2000	05:55	24/Aug/2000	02 50
Amber	13:50	24/Aug/2000	18:30	24/Aug/2000	04 40
Amber	11:20	26/Aug/2000	14:00	26/Aug/2000	02 40
Amber	14:00	27/Aug/2000	17:45	27/Aug/2000	03 45
Amber	08:25	02/Sep/2000	13:45	02/Sep/2000	05 20
Amber	13:25	25/Mar/2001	15:15	25/Mar/2001	01 50
Amber	17:35	09/Apr/2001	19:05	09/Apr/2001	01 30
Amber	15:35	09/May/2001	17:30	09/May/2001	01 55
Amber	09:20	18/May/2001	14:45	18/May/2001	05 25
Amber	17:35	21/May/2001	21:00	21/May/2001	03 25
Amber	16:05	30/May/2001	19:30	30/May/2001	03 25
Amber	18:05	05/Jun/2001	11:30	06/Jun/2001	17 25
Amber	05:00	07/Jun/2001	22:05	07/Jun/2001	17 05
Amber	04:25	08/Jun/2001	08:20	08/Jun/2001	03 55
Red	08:20	08/Jun/2001	14:15	08/Jun/2001	05 55
Amber	14:15	08/Jun/2001	16:30	08/Jun/2001	02 15
Amber	04:15	09/Jun/2001	09:30	09/Jun/2001	05 15
Red	09:30	09/Jun/2001	13:30	09/Jun/2001	04 00
Amber	13:30	09/Jun/2001	15:30	09/Jun/2001	02 00
Amber	08:20	10/Jun/2001	13:30	10/Jun/2001	05 10
Amber	07:20	11/Jun/2001	10:35	11/Jun/2001	03 15
Red	10:35	11/Jun/2001	13:30	11/Jun/2001	02 55
Amber	13:30	11/Jun/2001	15:15	11/Jun/2001	01 45
Amber	02:35	12/Jun/2001	04:35	12/Jun/2001	02 00
Red	04:35	12/Jun/2001	06:15	12/Jun/2001	01 40
Amber	06:15	12/Jun/2001	15:00	12/Jun/2001	08 45
Amber	05:35	13/Jun/2001	10:30	13/Jun/2001	04 55
Amber	20:35	23/Jun/2001	06:30	24/Jun/2001	09 55
Amber	18:05	25/Jun/2001	23:00	25/Jun/2001	04 55
Amber	15:00	26/Jun/2001	18:15	26/Jun/2001	03 15
Amber	08:45	27/Jun/2001	14:35	27/Jun/2001	05 50
Red	14:35	27/Jun/2001	19:55	27/Jun/2001	05 20
Amber	19:55	27/Jun/2001	22:05	27/Jun/2001	02 10
Amber	12:30	06/Jul/2001	00:30	07/Jul/2001	12 00
Amber	01:30	13/Jul/2001	04:15	13/Jul/2001	02 45
Amber	14:45	15/Jul/2001	20:00	15/Jul/2001	05 15
Amber	13:40	17/Jul/2001	18:00	17/Jul/2001	04 20
Amber	06:10	18/Jul/2001	08:45	18/Jul/2001	02 35
Amber	03:15	21/Jul/2001	06:25	21/Jul/2001	03 10
Amber	15:30	01/Aug/2001	17:00	01/Aug/2001	01 30
Amber	18:45	02/Aug/2001	19:45	02/Aug/2001	01 00
Red	19:45	02/Aug/2001	21:45	02/Aug/2001	02 00
Amber	22:10	12/Aug/2001	23:45	12/Aug/2001	01 35
Amber	22:15	27/Aug/2001	00:05	28/Aug/2001	01 50
Amber	12:55	30/Aug/2001	17:20	30/Aug/2001	04 25
Amber	05:20	01/Sep/2001	10:00	01/Sep/2001	04 40
Amber	17:30	01/Sep/2001	22:05	01/Sep/2001	04 35
Red	22:05	01/Sep/2001	22:45	01/Sep/2001	00 40
Black	22:45	01/Sep/2001	03:15	02/Sep/2001	04 30
Amber	02:40	03/Sep/2001	10:15	03/Sep/2001	07 35
Red	10:15	03/Sep/2001	12:15	03/Sep/2001	02 00
Amber	12:15	03/Sep/2001	14:40	03/Sep/2001	02 25
Amber	06:00	05/Sep/2001	12:00	05/Sep/2001	06 00
Amber	15:10	07/Sep/2001	15:45	07/Sep/2001	00 35
