# Intensity	Name	Signal	Start Time	End Time	Duration
# hh mm
# hh mm	dd/mon/yyyy	hh mm	dd/mon/yyyy
Typhoon	UTOR	3	13:40	06/Jul/2001	11:20	07/Jul/2001	21 40
Typhoon	YUTU	1	21:50	23/Jul/2001	15:50	24/Jul/2001	18 00
Typhoon	YUTU	3	15:50	24/Jul/2001	00:30	25/Jul/2001	08 40
Typhoon	YUTU	8 NE	00:30	25/Jul/2001	10:40	25/Jul/2001	10 10
Typhoon	YUTU	8 SE	10:40	25/Jul/2001	19:40	25/Jul/2001	09 00
Typhoon	YUTU	3	19:40	25/Jul/2001	06:15	26/Jul/2001	10 35
Tropical Storm	FITOW	1	22:15	28/Aug/2001	04:45	30/Aug/2001	30 30
Typhoon	NARI	1	16:15	19/Sep/2001	14:45	20/Sep/2001	22 30
Typhoon	NARI	3	14:45	20/Sep/2001	22:40	20/Sep/2001	07 55
Severe Tropical Storm	KAMMURI	1	09:50	03/Aug/2002	11:30	05/Aug/2002	49 40
Severe Tropical Storm	VONGFONG	1	22:45	17/Aug/2002	06:30	20/Aug/2002	55 45
Severe Tropical Storm	HAGUPIT	1	14:40	10/Sep/2002	05:40	11/Sep/2002	15 00
Severe Tropical Storm	HAGUPIT	3	05:40	11/Sep/2002	13:40	11/Sep/2002	08 00
Severe Tropical Storm	HAGUPIT	8 SE	13:40	11/Sep/2002	01:40	12/Sep/2002	12 00
Severe Tropical Storm	HAGUPIT	3	01:40	12/Sep/2002	05:40	12/Sep/2002	04 00
Severe Tropical Storm	KONI	1	05:40	20/Jul/2003	20:15	21/Jul/2003	38 35
Typhoon (Super Typhoon)	IMBUDO	1	20:20	22/Jul/2003	13:40	23/Jul/2003	17 20
Typhoon (Super Typhoon)	IMBUDO	3	13:40	23/Jul/2003	22:40	23/Jul/2003	09 00
Typhoon (Super Typhoon)	IMBUDO	8 NE	22:40	23/Jul/2003	05:15	24/Jul/2003	06 35
Typhoon (Super Typhoon)	IMBUDO	8 SE	05:15	24/Jul/2003	08:15	24/Jul/2003	03 00
Typhoon (Super Typhoon)	IMBUDO	3	08:15	24/Jul/2003	12:40	24/Jul/2003	04 25
Typhoon	KROVANH	1	09:30	23/Aug/2003	11:30	24/Aug/2003	26 00
Typhoon	KROVANH	3	11:30	24/Aug/2003	11:30	25/Aug/2003	24 00
Typhoon (Severe Typhoon)	DUJUAN	1	22:15	01/Sep/2003	10:40	02/Sep/2003	12 25
Typhoon (Severe Typhoon)	DUJUAN	3	10:40	02/Sep/2003	14:20	02/Sep/2003	03 40
Typhoon (Severe Typhoon)	DUJUAN	8 NW	14:20	02/Sep/2003	20:10	02/Sep/2003	05 50
Typhoon (Severe Typhoon)	DUJUAN	9	20:10	02/Sep/2003	22:10	02/Sep/2003	02 00
Typhoon (Severe Typhoon)	DUJUAN	8 SW	22:10	02/Sep/2003	01:30	03/Sep/2003	03 20
Typhoon (Severe Typhoon)	DUJUAN	3	01:30	03/Sep/2003	03:20	03/Sep/2003	01 50
Typhoon	CONSON	1	14:15	08/Jun/2004	04:30	09/Jun/2004	14 15
Tropical Storm	KOMPASU	1	22:55	14/Jul/2004	05:15	16/Jul/2004	30 20
Tropical Storm	KOMPASU	3	05:15	16/Jul/2004	11:45	16/Jul/2004	06 30
Tropical Storm	KOMPASU	8 NE	11:45	16/Jul/2004	14:45	16/Jul/2004	03 00
Tropical Storm	KOMPASU	8 NW	14:45	16/Jul/2004	16:45	16/Jul/2004	02 00
Tropical Storm	KOMPASU	8 SW	16:45	16/Jul/2004	19:20	16/Jul/2004	02 35
Tropical Storm	KOMPASU	3	19:20	16/Jul/2004	20:20	16/Jul/2004	01 00
Typhoon	AERE	1	10:15	26/Aug/2004	04:10	27/Aug/2004	17 55
Severe Tropical Storm	SANVU	1	10:40	12/Aug/2005	18:45	13/Aug/2005	32 05
Tropical Storm	VICENTE	1	14:40	17/Sep/2005	07:40	18/Sep/2005	17 00
Typhoon (Severe Typhoon)	DAMREY	1	10:40	22/Sep/2005	08:40	24/Sep/2005	46 00
Typhoon (Severe Typhoon)	DAMREY	3	08:40	24/Sep/2005	08:20	26/Sep/2005	47 40
Typhoon (Super Typhoon)	CHANCHU	1	21:40	15/May/2006	07:15	17/May/2006	33 35
Typhoon (Super Typhoon)	CHANCHU	3	07:15	17/May/2006	21:15	17/May/2006	14 00
Typhoon (Super Typhoon)	CHANCHU	1	21:15	17/May/2006	04:40	18/May/2006	07 25
Tropical Storm	JELAWAT	1	09:40	27/Jun/2006	18:40	28/Jun/2006	33 00
Typhoon	PRAPIROON	1	12:10	01/Aug/2006	16:20	02/Aug/2006	28 10
Typhoon	PRAPIROON	3	16:20	02/Aug/2006	05:40	04/Aug/2006	37 20
Typhoon	PRAPIROON	1	05:40	04/Aug/2006	15:40	04/Aug/2006	10 00
Severe Tropical Storm	BOPHA	1	08:40	09/Aug/2006	22:10	10/Aug/2006	37 30
Tropical Depression	no name	1	11:10	24/Aug/2006	06:20	25/Aug/2006	19 10
Tropical Depression	no name	1	13:40	12/Sep/2006	10:35	13/Sep/2006	20 55
Tropical Depression	no name	3	10:35	13/Sep/2006	14:40	13/Sep/2006	04 05
Tropical Depression	no name	1	14:40	13/Sep/2006	16:10	13/Sep/2006	01 30
Typhoon (Super Typhoon)	CIMARON	1	14:20	31/Oct/2006	13:30	03/Nov/2006	71 10
Severe Tropical Storm	PABUK	1	05:40	08/Aug/2007	02:40	09/Aug/2007	21 00
Severe Tropical Storm	PABUK	3	02:40	09/Aug/2007	11:15	09/Aug/2007	08 35
Severe Tropical Storm	PABUK	1	07:50	10/Aug/2007	12:40	10/Aug/2007	04 50
Severe Tropical Storm	PABUK	3	12:40	10/Aug/2007	14:30	10/Aug/2007	01 50
